Character,Equip,Strategy,Blessing,Journeys,Turns,DPS,MaxHit,Stats
프레이,파괴4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3536.17,26912.72,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,4027.86,39116.76,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,파괴4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,4015.81,39116.76,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 1.2000000000000002}"
프레이,체력4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,2713.25,20848.78,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3095.6,28238.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3098.15,28238.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3102.24,23446.32,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3572.14,35742.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3550.33,35742.91,"{'atk': 8966.695, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,2645.27,20325.11,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3017.63,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3019.94,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3023.82,22850.42,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3481.26,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3459.87,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,2645.27,20325.11,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3017.63,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3019.94,27534.66,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,3023.82,22850.42,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,3481.26,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이,체력4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,3459.87,34830.0,"{'atk': 8785.994999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,5970.65,31055.89,"{'atk': 9689.494999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,5669.45,31055.89,"{'atk': 9689.494999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+투지2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,5884.25,33140.56,"{'atk': 9689.494999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,5820.34,35225.22,"{'atk': 9689.494999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,6129.33,39394.56,"{'atk': 9689.494999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+투지2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,6213.59,39394.56,"{'atk': 9689.494999999999, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,5834.75,30351.65,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,5539.79,30351.65,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+보조2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,5749.41,32384.15,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,5686.73,34416.65,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,5987.83,38481.64,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+보조2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,6069.95,38481.64,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,5834.75,30351.65,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",10,5539.79,30351.65,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+장벽2,Standard Rotation,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",15,5749.41,32384.15,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
프레이(달속성파티),공격4+장벽2,No-Ult AX Stacking,AX,"노페인 노게인 | 누각 위, 유리달 맞이 | 하늘의 심판 | 메이드 바이 페트라 | 불굴의 역작",5,5686.73,34416.65,"{'atk': 9508.795, 'spd': 150.0, 'cr': 0.29, 'cd': 0.8}"
